"diff","lwr","upr","p adj","Comparison"
920923.89473684,504470.139510451,1337377.64996323,0.000000222524394577484,"Esfahan-Azerbaijan Sharghi"
623969.533333332,185537.800504001,1062401.26616266,0.00139003934525972,"Fars-Azerbaijan Sharghi"
586936.086956519,185463.472484866,988408.701428172,0.000953460259288219,"Khorasan Razavi-Azerbaijan Sharghi"
4105415.33333333,3697097.4465936,4513733.22007307,0.000000000259152699300103,"Tehran-Azerbaijan Sharghi"
-296954.361403509,-696583.639524274,102674.916717256,0.242326645199482,"Fars-Esfahan"
-333987.807780321,-692681.877636932,24706.2620762894,0.0803231245574063,"Khorasan Razavi-Esfahan"
3184491.43859649,2818151.87997472,3550830.99721827,0.000000000259152699300103,"Tehran-Esfahan"
-37033.4463768126,-421025.750804736,346958.85805111,0.998832591899143,"Khorasan Razavi-Fars"
3481445.8,3090302.18657807,3872589.41342193,0.000000000259152699300103,"Tehran-Fars"
3518479.24637682,3169264.1233656,3867694.36938803,0.000000000259152699300103,"Tehran-Khorasan Razavi"
